,F1-a,F1-also,F1-and,F1-ask,F1-at,F1-bags,F1-big,F1-blue,F1-bob,F1-bring,F1-brother,F1-call,F1-can,F1-cheese,F1-five,F1-for,F1-fresh,F1-frog,F1-from,F1-go,F1-her,F1-into,F1-kids,F1-maybe,F1-meet,F1-need,F1-of,F1-peas,F1-plastic,F1-please,F1-red,F1-scoop,F1-she,F1-six,F1-slabs,F1-small,F1-snack,F1-snake,F1-snow,F1-spoons,F1-station,F1-stella,F1-store,F1-the,F1-these,F1-thick,F1-things,F1-three,F1-to,F1-toy,F1-train,F1-we,F1-wednesday,F1-will,F1-with,F2-a,F2-also,F2-and,F2-ask,F2-at,F2-bags,F2-big,F2-blue,F2-bob,F2-bring,F2-brother,F2-call,F2-can,F2-cheese,F2-five,F2-for,F2-fresh,F2-frog,F2-from,F2-go,F2-her,F2-into,F2-kids,F2-maybe,F2-meet,F2-need,F2-of,F2-peas,F2-plastic,F2-please,F2-red,F2-scoop,F2-she,F2-six,F2-slabs,F2-small,F2-snack,F2-snake,F2-snow,F2-spoons,F2-station,F2-stella,F2-store,F2-the,F2-these,F2-thick,F2-things,F2-three,F2-to,F2-toy,F2-train,F2-we,F2-wednesday,F2-will,F2-with
F1-a,1.0,0.5598024117971987,0.2547717225542313,0.48803227441940505,0.4604707978742533,0.4455821418341872,0.44536887458258234,0.2667169142592526,0.5467354634891718,0.4228128146825713,0.5551946228214552,0.4953334317722396,0.19981062636301936,0.21556411737963957,0.5515887058547513,0.4163168660146303,0.5596123554008229,0.5353608246027962,0.1779382754185938,0.44454418465872075,0.4989840374156027,0.24212280107391962,0.5385254445981261,0.36142684217133886,0.2810887829210885,0.447940119955059,0.3763576945902972,0.21235220877650932,0.5837643116364599,0.34093806481341565,0.5416342084685445,0.44419421371994605,0.08646049745656571,0.4631705431039614,0.5029025902616383,0.44277800741080786,0.5108161655216696,0.4978648501728375,0.4518702990867557,0.3390884724507973,0.055961184927705535,0.32195303196040714,0.3733364228199213,0.42135155167014604,0.44967509611537076,0.4653601725652492,0.53691275975374,0.4003840380112183,0.28196667070045206,0.5056736161724963,0.4506529778837796,0.3218193738954142,0.454380630482749,0.38213930017669717,0.3968745985023422,0.27397119001549014,0.25183612023103574,0.35276782291223957,0.20593535778620436,0.25458224283488956,0.2731565131882577,0.48690678100977497,0.27803195683876053,0.41431202813340134,0.3376971178087771,0.3541161391562848,0.3345940807503674,0.3080217863041573,0.37366679097111505,0.4505902069751887,0.19247893824687637,0.46308881311603395,0.3364303824056479,0.057042098854674955,0.16069988167327579,0.22935265643122513,0.3829792220617763,0.345354376847328,0.37461945060025315,0.23954348680132218,0.17788315179729253,0.24267537356034546,0.3434745048348587,0.317883883044925,0.318414979565707,0.37728649117567625,0.25021800033185976,0.42097235556261947,0.4414486276873743,0.3149626590533201,0.2696870407843441,0.30294738842120317,0.2729409278828286,0.2605632738501736,0.23846670770528192,0.16105782388173692,0.27740578638203367,0.1012790572016092,0.41120834065679823,0.35579292946476987,0.3819981326650733,0.3717616726842642,0.4796329211240851,0.3373108551926041,0.2826826391014155,0.29886504709405337,0.36165321211004486,0.3540520286663931,0.11031176881267864,0.2788660065445288
F1-also,0.5598024117971987,1.0,0.19956506040707203,0.5224673384304408,0.36934945644838524,0.4357960530192129,0.3275710712944592,0.2022819414774585,0.707809375048734,0.35937143881901557,0.5584577184684546,0.7579809646419784,0.1970890663900718,0.16484658517875628,0.6499690052860173,0.3270299265343021,0.5599683459626769,0.7176731663039176,0.21295826979262228,0.47864000710319504,0.4289803134359355,0.10128154606588993,0.48734231861359534,0.3264169752528937,0.24585684572512095,0.39151444670101837,0.1888107324012706,0.10875771160239298,0.5779046845669475,0.3350431462817333,0.5411664403725444,0.3721028359860002,0.08510498447843637,0.3535415031827906,0.5292390919745605,0.6797727816953187,0.4877975110735249,0.4666503744618349,0.4478470721585475,0.3063507606564323,0.09795399951774976,0.31921270048384504,0.4615537614052641,0.32205151656702535,0.3788798452076005,0.3843376347775029,0.5273832352141015,0.35134030373336655,0.19308373459407474,0.5305065034700325,0.41760025138851037,0.3014293029943469,0.41160613814581165,0.33454459810036885,0.2736468853092954,0.3990653936069217,0.2459893267827117,0.5120299720934273,0.45167017946227783,0.4216396336507685,0.37041473584476486,0.4787202044582597,0.17929433684994348,0.5126757891778326,0.2983247437236887,0.4290686296204384,0.4052747790434609,0.3500299071435852,0.39854992443105086,0.465118067312111,0.21416945761943026,0.397410805380377,0.4163281100162686,0.1798994887169502,0.20929563137080948,0.2608207373745535,0.29989487306708357,0.3028605987053423,0.41848690222029966,0.25103895356804307,0.2506995795728697,0.20549001300111747,0.3951991556631893,0.41396629801033763,0.3448203595215298,0.33407143655223825,0.25145169777322757,0.38665927236872455,0.44440842297694455,0.4402441477293201,0.318708932018649,0.40290781740879106,0.2723091357481047,0.2998619421183389,0.2631275008407789,0.13993176871635052,0.2946307205384955,0.2034006642081698,0.38156552845699077,0.40188220791817914,0.36140462889358815,0.40036202548395916,0.30318076743883554,0.2242984289165699,0.2606837193324877,0.31131688397670165,0.42525323387333724,0.3562494354202195,0.10408662205625123,0.24653027027007327
F1-and,0.2547717225542313,0.19956506040707203,1.0,0.3328608774273088,0.24465370037377218,0.34769965824358395,0.17220296328106208,0.04494816468801555,0.21649652294712163,0.1461585725836786,0.3347586137501847,0.19333281300262753,0.12528843146348523,0.07970312473725172,0.29491543772663276,0.23043262973012762,0.31999709822780403,0.2830435352154111,0.21484757484966244,0.2326114389637561,0.27502640290681213,0.13585359618555298,0.23158122409483037,0.20175933738814877,0.12896969075209966,0.14850357355515462,0.15565007950662962,0.060309037751142366,0.34530807108063694,0.12936694855291364,0.3027640671362311,0.22451329251147462,0.1406292916698704,0.1986676029551072,0.37050329337513493,0.208853797037302,0.3128278228570422,0.21288693835744393,0.1979634161240553,0.15323173517480668,0.07730744754298478,0.19986552208695854,0.24873461357346216,0.22417863308857217,0.1869519528229405,0.2351185662851365,0.1811332025465185,0.1386805694838066,0.1096267231548143,0.2730808265205722,0.20364936408593856,0.1013779625936671,0.30401252018205566,0.15136330678969995,0.15398406507855777,0.15905858637890333,0.10209374272589435,0.33756418023301155,0.029454138762420798,0.18560614980115092,0.05140252811052646,0.24833498915320534,0.11464904541066784,0.11264126468224395,0.10451755036783145,0.22686791923356764,0.16338248334035468,0.11382076123648482,0.15200055258648318,0.1666075376421128,0.2435512244886006,0.14587842081610844,0.17966525154798693,0.16991163491070255,0.1552806397042517,0.2227872504621518,0.20684395923588061,0.15702424414321053,0.1496233191650898,0.09709562122048904,0.09271816070310168,0.14962237767129558,0.18800987260494972,0.10782158177116082,0.20475468143529163,0.11950374481264593,0.18612643538822718,0.2558892068294562,0.24097269278836703,0.03814534951960946,0.1710476152645613,0.11236347181993883,0.07870267305139195,0.20914936061278025,0.0750263190102659,0.07064545452088934,0.17535422903454842,0.12794951192337425,0.2543383950860582,0.179279740063877,0.19244325515218164,0.22507714790529731,0.14914869463913524,0.16191919453460987,0.24061105193331608,0.12262217578961597,0.15548096894892027,0.12388939808957833,0.10389949378536034,0.19437910487970433
F1-ask,0.48803227441940505,0.5224673384304408,0.3328608774273088,1.0,0.44252475338078023,0.6449944511519533,0.21138964095573906,0.11095356578908223,0.5993203523839775,0.3037609566076708,0.5130731550599957,0.5311352844254118,0.10545011710993868,0.12820012625863195,0.6921485628914389,0.3136481386567377,0.607642621629459,0.6304782796781191,0.17253113382722057,0.4206580553500711,0.38290835676677226,0.17630813455762823,0.5879164167227204,0.24788282636785733,0.25006333764205035,0.3792427253525228,0.19205055155176282,0.15276048631143838,0.7478852539135988,0.11438522426443563,0.6485833550736199,0.2030786272678282,0.10932095604996415,0.27986408710602373,0.7297978370459257,0.4984139914441268,0.7249419635187198,0.3780559165564406,0.4146162330269212,0.22025361591963852,0.04034175509527017,0.38643255360286816,0.36185281790930723,0.27000401580935196,0.24090029617762865,0.31385207330193887,0.3721392384946679,0.22556803535455444,0.12054506702319132,0.48765378658122194,0.3214807038928836,0.30345966698482746,0.5326023971468167,0.2598455899498786,0.2772602347895982,0.36975065569334764,0.2541139640456555,0.29743601018999,0.15567474023703023,0.29114693646014966,0.1951257857548192,0.44373929010872365,0.2923137321015213,0.3326162849541156,0.3656877882846986,0.46008738452784576,0.2881334687643192,0.2966008081895193,0.38580000683878013,0.4424612265639592,0.33535244959508037,0.38272534873717684,0.4149579249240448,0.14568190316163526,0.26243842231026915,0.39290371141741337,0.3555648184154565,0.2845999504823914,0.43916689240548346,0.23741080129514827,0.3061006584477616,0.25571412987114495,0.373364887766379,0.2331344684449584,0.4135019158613585,0.26421062516582183,0.29939784120765506,0.3858997605191996,0.43439068156619637,0.17313418096712066,0.2981118089685311,0.29047483054116735,0.3143333785510825,0.357857039729291,0.262357817098271,0.09750922352281648,0.31020513196118626,0.1611448410753603,0.3703995055439564,0.4397246099635057,0.3581464808303685,0.4815215820956596,0.3665403148859863,0.3295959705060584,0.4064011698991395,0.39134039255311787,0.4297390602731997,0.2965498181071216,0.1169786207103055,0.30318361479701345
F1-at,0.4604707978742533,0.36934945644838524,0.24465370037377218,0.44252475338078023,1.0,0.4271689949830058,0.17066915150527018,0.08011338934263362,0.4208835998651117,0.28380330861910674,0.41022535566303847,0.39567809045707103,0.08480291172943655,0.17798981702645306,0.40545190068619286,0.2850335326272071,0.4777708792429588,0.44486829080551926,0.12665746876708944,0.3601588267563286,0.3030968323705562,0.20631547518649054,0.4157524748015506,0.20519447849390224,0.21629935136446674,0.272719247749729,0.267489760768361,0.2067315701103498,0.4192474512534972,0.09116403952485351,0.47333763922269534,0.14336383138652986,0.09097989093421703,0.2501046566158063,0.5124513728019102,0.3711753809690552,0.4332752867296643,0.3478603143792914,0.4137698842412039,0.21538558226810306,-0.02443424098465574,0.3097259109305414,0.2447407951469816,0.23665078875365247,0.1998253926174958,0.36555070049979704,0.3184639577879456,0.13999429451971016,0.13214883425064347,0.32913520794873585,0.28225773582138947,0.19270131159064346,0.400381995939906,0.21553054583342873,0.20601915190413486,0.3213466455575029,0.08705672146510328,0.2840201752594702,0.13538954862378896,0.07921777106570103,0.18426696183569632,0.41598851535751014,0.2707195561248951,0.3092155053823231,0.2657219565167009,0.3171505945904415,0.18072669565607738,0.22510944758332546,0.2988898462954273,0.309735532804827,0.15532746140320905,0.29240072773188736,0.3395675388009962,0.025966288540843836,0.1591624019978253,0.24893655644379567,0.40079578347579053,0.29920931883304924,0.31124440307403495,0.22074625221470123,0.2052557527216819,0.20469394936782637,0.28202512621494047,0.29480002131911304,0.2961861660151555,0.3270091434605918,0.20978072123925004,0.29476780806340724,0.3928585569735643,0.2330957517794017,0.21432641592860852,0.25751633386858924,0.2178973483084393,0.306852859356002,0.23953652874808296,0.04544654167726286,0.28374793440273166,0.04404294544851432,0.2988444237706625,0.33646542049625683,0.3143239187253407,0.3870687874433013,0.3701991725251298,0.318012200667941,0.29083401151864524,0.26335824576406414,0.37106167270402407,0.3146071975338703,0.001294183813808892,0.2949092813798962
F1-bags,0.4455821418341872,0.4357960530192129,0.34769965824358395,0.6449944511519533,0.4271689949830058,1.0,0.3070367960079971,0.14286198279201232,0.5447608487446153,0.2928046494230776,0.5121656050495594,0.39308656258211155,0.11769545583258433,0.1958988237389212,0.5563913804985829,0.27628865580678663,0.5955873353922138,0.5657556035852958,0.0961148568252387,0.41632362571900383,0.4061270648132056,0.19639772964117252,0.5932140715393961,0.295507097258114,0.24160525201641297,0.3781911284694216,0.24223829619302711,0.1634673316199912,0.6547391251368423,0.17182796484117133,0.6441967742530006,0.2773414927430237,0.14841770848497413,0.3384259897619501,0.7048418385506903,0.4085945233745031,0.611963550376925,0.3880092459770291,0.34809349853961075,0.22695833181847216,0.05291637786712631,0.35941280821810384,0.34008462981764875,0.28198721570327584,0.34286554777380834,0.38226073888901685,0.388212299432575,0.287541805003204,0.18179461738862862,0.42680095103716054,0.342074950224866,0.23971435262003557,0.4991101275955429,0.22940699895676087,0.2425105533638394,0.42100005849015154,0.27946455239524304,0.262294853551424,0.03714416143357641,0.30453296750844316,0.13120454482483312,0.4331542295867926,0.33080420326558485,0.2901205790916074,0.31695983819258344,0.3652364987695829,0.2433185191100235,0.29377301801825495,0.4035411106157705,0.3746490038100945,0.3810663796900796,0.3500676719974876,0.36807213452343435,0.10317510493440309,0.30391749655695294,0.34330102453631123,0.3890579964496342,0.30120035216518626,0.3728130776226002,0.2795987264874708,0.2759593414454695,0.2951383583414244,0.38945222824631054,0.18283737727603774,0.35069975559926686,0.23016371784832104,0.41001549057130576,0.4158841365812716,0.5050691909406346,0.12230593250533021,0.2378907026603188,0.23381541785349072,0.2741797064195629,0.4319000687186316,0.35412671113049066,0.12183260007604638,0.3155568588927449,0.14019906324912781,0.39327424732968086,0.3983291923555436,0.38284527668996254,0.4473426972832833,0.3701671668113415,0.3951461814654714,0.3915551368165724,0.37922547393254624,0.36107125760896225,0.2532308231429982,0.04757692326497999,0.28615169304897375
F1-big,0.44536887458258234,0.3275710712944592,0.17220296328106208,0.21138964095573906,0.17066915150527018,0.3070367960079971,1.0,0.5289289107652948,0.33568708155237237,0.4251323484031716,0.378774301701333,0.2690495200333651,0.07337014544958383,0.37419745283018796,0.2932808855833899,0.20301582892506453,0.38493137189960713,0.29113485344976764,0.16653210222623827,0.2495686384391934,0.466694797736242,0.21511783670167575,0.4251340935755125,0.16766547763905285,0.21577936461532446,0.2198493587013842,0.3498313776388224,0.06370767975831755,0.3613129465399696,0.4433207991095867,0.3409290604808855,0.7678156116846128,0.08793262850792682,0.7034384249533213,0.28030557975568554,0.24234787370334182,0.2865924722331502,0.20596219717574815,0.2168703080241586,0.3557247929459358,0.20956133174920458,0.2244416552799773,0.3040341370357272,0.3456366320127799,0.6605224406130118,0.620147249396405,0.5157001416240029,0.8361175574997897,0.28165093062643376,0.298294853824163,0.17718806171205098,0.09136355786204887,0.2806038134102283,0.19852056754877548,0.3834465003611148,0.19272456011319214,0.285721851646962,0.14245160561714085,0.1089055350918566,0.1348829621610346,0.10750229797763848,0.2859442146406697,0.3001427336501117,0.32047317421713284,0.1937124055207463,0.13275526514133368,0.2095851057420984,0.11686730338578885,0.2310410623551361,0.24140787340089223,0.15278312404828037,0.1769034095432983,0.20294157240691887,0.10385477214814809,0.08776765410488016,0.13169350006569477,0.23110378865052406,0.15281320204786253,0.1628751382766476,0.12020524410438459,0.08992463536944552,0.2733756095733274,0.1776480834042777,0.10598420795144166,0.1962099324859582,0.1170620632277601,0.29407385735957775,0.17277578514881506,0.34497960636727415,0.07760303845017442,0.13113312628587392,0.08673218826857498,0.11313350742014178,0.13518354025283366,0.23810839361404273,0.16109718265375395,0.33565256632130935,0.27358967002404816,0.25265687121755465,0.2008873173571561,0.22369560750006898,0.2066373264920014,0.26714197134253315,0.17145096987133915,0.1939823076857469,0.18956961437143127,0.19707703145063438,0.09869042436460129,0.15963837845095336,0.18261403593577558
F1-blue,0.2667169142592526,0.2022819414774585,0.04494816468801555,0.11095356578908223,0.08011338934263362,0.14286198279201232,0.5289289107652948,1.0,0.2149265929530359,0.4640391167125982,0.1950689315912812,0.12255882893671938,0.03904398291929559,0.41287643021523196,0.19864822687977524,0.1589291283522655,0.34380546197524825,0.18917673686011102,0.1237242622014373,0.3115348591267024,0.39576668159408196,0.2650061356172177,0.2218705555865785,0.0998552360437831,0.25998011171373986,0.12570871957368912,0.31095957075890185,0.2920881262385196,0.19648272251740156,0.2781645270800808,0.20318211511485584,0.46056923521272064,0.1375573176568523,0.5786457474386383,0.16089709591840834,0.1578549464409596,0.16695635441967643,0.1446977859685925,0.2744592891217932,0.35028630019267054,0.09897864747087912,0.10757220647991009,0.30241059068049203,0.2751449235494645,0.3989292691417697,0.34213922571208144,0.28613551862514136,0.5100486175499895,0.4018842881665481,0.2012637929926734,0.13111802596951083,0.3303818706370991,0.11725103696119409,0.23678113597875922,0.23535650068505057,0.07911551170479975,0.19399651637769924,0.08444882824637089,0.053258033054799495,0.05545353512323321,0.07644411615745421,0.14877306536221685,0.4072895837281286,0.1705212414338754,0.13845365559304817,0.06949962686913135,0.1831357726565794,0.07834833980744553,0.13833872684955553,0.16487430555598154,0.09056657908533813,0.12820239591261198,0.12580598469903415,0.05366963838703576,0.14587593383721484,0.12302215733177414,0.22838357602420303,0.11615382252405597,0.05758706415612918,0.05708593528083029,0.054169599524268655,0.2633673402624506,0.08188437900630408,0.043966229940623804,0.06484996430197586,0.07564023759985757,0.21672811902843683,0.10990956066297948,0.23329490293406696,0.03332213252874739,0.06799464032452661,0.07806202206840422,0.008929337324431096,0.1236406874202147,0.13871633478464368,0.08783565325633738,0.17410789561430676,0.2911090526052698,0.19199801821320192,0.07098462659622952,0.09730683675657321,0.11282560225350782,0.1403962780994164,0.21693879914110412,0.09288231647156105,0.04399195332961089,0.10974777342420777,0.10413022222015729,0.19255894884694297,0.10620641513856562
F1-bob,0.5467354634891718,0.707809375048734,0.21649652294712163,0.5993203523839775,0.4208835998651117,0.5447608487446153,0.33568708155237237,0.2149265929530359,1.0,0.3768374127038676,0.6137075430484992,0.6921815452051832,0.20678960190186496,0.21839307795461246,0.7049580246511873,0.35443090279057626,0.633767808690583,0.8038332414419199,0.25510547853862037,0.5268689450684577,0.49029428944090037,0.18623937910167546,0.6393419407080418,0.27136065531509435,0.2814359113591339,0.38521525549204044,0.26447678974403865,0.1591596801985828,0.6307513364477741,0.2321556329891299,0.6314343205248147,0.3358220858031734,0.12811159496084243,0.3723631663442109,0.6043399556523071,0.651242064134773,0.5719827743557004,0.44333635938002697,0.5310156088637595,0.339559229056433,0.0771204197323443,0.4277636779567485,0.5172735226623091,0.3302624915879928,0.3470394305813268,0.34573812621416755,0.4782813740281063,0.3599257057818385,0.22838426574294438,0.5419623905299499,0.4201073234608735,0.3357458390077979,0.5322257076360322,0.40617889198229806,0.3374516168953462,0.4371906183650125,0.3009730295787149,0.4269780054801195,0.38648459776515104,0.3082839464729094,0.33692384608320913,0.4868673442541763,0.24346676537487488,0.6178223233424944,0.34097720378222907,0.49103832041954465,0.4114691277634459,0.30634420901348364,0.38289105840719534,0.5112761442917062,0.29792415937176875,0.3845063282343454,0.4608757952370448,0.22241915043400282,0.2741936764279364,0.38496314758553074,0.3274831773520795,0.2653812592229222,0.4358983043219468,0.24324600116015185,0.194738521635731,0.2538273758037251,0.34957593914653934,0.4089320212413006,0.329021877480933,0.2896713089621786,0.226180146357942,0.40648436739185706,0.4468449473670918,0.40669159656816856,0.3377313223301919,0.4410436144247501,0.29468637596089625,0.3800575058409757,0.2610126958921763,0.03523453821177519,0.34010193608698674,0.3009156744921183,0.4183516232566019,0.3979520047462885,0.3434692716136265,0.4847089822313571,0.32224924627470003,0.29877089456703415,0.3876461713413563,0.3537103640583817,0.4091467965567301,0.31593655857786773,0.1958140843225024,0.29139705572029423
F1-bring,0.4228128146825713,0.35937143881901557,0.1461585725836786,0.3037609566076708,0.28380330861910674,0.2928046494230776,0.4251323484031716,0.4640391167125982,0.3768374127038676,1.0,0.32970478558908956,0.35146368173137005,0.12984228454202776,0.29461097595633856,0.345823989257305,0.3417028472175872,0.5451754045466577,0.38686246100921096,0.25721178181384424,0.5189808604671103,0.5182163294211046,0.3013286142692071,0.4401311807042048,0.31060461555758706,0.174108954112037,0.3717209301410407,0.4003287409811573,0.45439941200039485,0.3114350577762336,0.1896915976724627,0.4132467281857015,0.40948605208796846,0.2455804067670258,0.6150447207919428,0.32977781568843534,0.360872649886591,0.3227959430876061,0.3869715605527104,0.5209260417423227,0.6139945530972765,0.1001568653833732,0.23055625869592525,0.36872709474371573,0.3705844272960614,0.15040191428344354,0.20291436326664414,0.43333796950719017,0.37349758596308874,0.23663315084961656,0.3716373705375375,0.3560724359626484,0.442545160583876,0.30052723525158315,0.4545968008609039,0.3994836369749876,0.188955799535145,0.13156921443798064,0.23430183001070404,0.1371137545544169,0.21067900832576936,0.13096286172063176,0.2560063489601035,0.3162478407853251,0.20094378450550773,0.21371396282260896,0.1973481601067143,0.21180595939308813,0.17001807821359438,0.22594102338004804,0.20302874496715625,0.11925080446599108,0.30405895012558765,0.20326733720557658,0.14234236160640237,0.2327254868511457,0.14183871201507992,0.29023543559734477,0.20905722513408667,0.19687718628926584,0.14302315779885855,0.09106219893832304,0.349043731022288,0.22847940119454768,0.18664606478446236,0.1365211425045714,0.24507198391971644,0.2578154736871786,0.29762229783226835,0.3541972114489978,0.1680984213344373,0.18775980323189395,0.12301136160939107,0.10971679002758306,0.26080613578095246,0.2504266534291123,0.14775346794990857,0.1042413858082758,0.20535820592447696,0.3314166240465032,0.18400276107725044,0.17743023017045076,0.1655711388022493,0.2225242200981533,0.1919527086262318,0.15641816568951822,0.14309992250619102,0.1921871796959795,0.20528064794087478,0.22531578995358129,0.2546580193015976
