feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F1-also,0.0106060606060606,0.013636363636363624,0.013636363636363624,0.009090909090909084,0.009090909090909084,0.010606060606060619,0.007575757575757569
F2-ask,0.008585858585858579,0.0015151515151515138,0.016666666666666653,0.018181818181818167,0.013636363636363624,0.0,0.0015151515151515138
F2-and,0.0035353535353535325,0.0,0.0015151515151515138,0.018181818181818167,-0.0015151515151515138,0.0015151515151515138,0.0015151515151515138
F2-bob,0.00328282828282828,0.0,0.009090909090909084,0.006060606060606055,0.0030303030303030277,-0.004545454545454542,0.006060606060606055
F2-to,0.0030303030303030277,0.0015151515151515138,0.0030303030303030277,0.010606060606060596,0.0030303030303030277,0.0,0.0
F2-snack,0.002777777777777775,-0.004545454545454542,0.01212121212121211,0.0030303030303030277,0.0,-0.0015151515151515138,0.007575757575757569
F1-call,0.0022727272727272704,0.0030303030303030277,0.010606060606060596,0.006060606060606055,0.0,-0.0015151515151515138,-0.004545454545454542
F2-slabs,0.002020202020202019,0.0015151515151515138,0.009090909090909084,0.0,-0.0030303030303030277,0.0,0.004545454545454542
F2-small,0.0017676767676767663,0.0,0.0,0.004545454545454542,0.0,0.0,0.006060606060606055
F2-plastic,0.0012626262626262614,0.0,0.0,0.0,0.0,0.0,0.007575757575757569
F2-from,0.0012626262626262614,-0.0015151515151515138,0.0030303030303030277,0.006060606060606055,0.0,0.0,0.0
F2-her,0.0010101010101010092,0.0,0.0,0.0,0.006060606060606055,0.0,0.0
F2-can,0.0010101010101010092,0.0,0.0,0.0,0.006060606060606055,0.0,0.0
F2-snow,0.0010101010101010092,0.0,0.0015151515151515138,0.006060606060606055,0.0,0.0,-0.0015151515151515138
F2-thick,0.0010101010101010092,0.0,0.0,0.0,0.0,0.0,0.006060606060606055
F1-and,0.0010101010101010092,0.0,0.0,0.007575757575757569,0.0,0.0,-0.0015151515151515138
F1-train,0.0007575757575757569,0.0,0.0,0.0,0.004545454545454542,0.0,0.0
F1-to,0.0007575757575757569,0.0,0.0,0.0,-0.0030303030303030277,0.0,0.007575757575757569
F1-please,0.0007575757575757569,0.0,0.0,0.0,0.0,0.0,0.004545454545454542
F1-three,0.0007575757575757569,0.0,0.0,0.0,0.0,0.0,0.004545454545454542
F2-five,0.0007575757575757569,0.0,0.0030303030303030277,0.0,0.0,0.0,0.0015151515151515138
F2-with,0.0007575757575757569,0.0,0.0,0.0,0.006060606060606055,0.0,-0.0015151515151515138
F2-scoop,0.0007575757575757569,-0.006060606060606055,0.0,0.007575757575757569,0.004545454545454542,0.0,-0.0015151515151515138
F2-meet,0.0007575757575757569,0.0,0.0,0.0,0.0,0.0,0.004545454545454542
F2-stella,0.0007575757575757569,0.0,0.0,0.0,0.004545454545454542,0.0,0.0
F1-bob,0.0005050505050505047,0.0030303030303030277,0.0015151515151515138,0.004545454545454542,-0.0030303030303030277,-0.006060606060606055,0.0030303030303030277
F1-into,0.0005050505050505047,0.0,0.004545454545454542,0.0,0.0,0.0,-0.0015151515151515138
F1-maybe,0.0005050505050505046,0.0,0.0,0.0030303030303030277,0.0,0.0,0.0
F2-for,0.0005050505050505046,0.0,0.0,0.0,0.0,0.0,0.0030303030303030277
F1-at,0.0005050505050505046,0.0,0.0,0.0,0.0030303030303030277,0.0,0.0
F1-things,0.0005050505050505046,0.0,0.0,0.0,0.0,0.0,0.0030303030303030277
F1-these,0.0005050505050505046,0.0,0.0015151515151515138,0.0015151515151515138,0.0,0.0,0.0
F1-six,0.00025252525252525236,0.0,-0.0030303030303030277,0.0,0.004545454545454542,0.0,0.0
F1-stella,0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,0.0015151515151515138
F2-brother,0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,0.0015151515151515138
F2-please,0.0002525252525252523,0.0,0.0015151515151515138,0.0,0.0,0.0,0.0
F2-bring,0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,0.0015151515151515138
F2-six,0.0002525252525252523,0.0,0.0015151515151515138,0.0,0.0,0.0,0.0
F2-frog,0.0002525252525252523,0.0,0.0,0.0,0.0015151515151515138,0.0,0.0
F2-things,0.0002525252525252523,0.0,0.0,0.0,0.0015151515151515138,0.0,0.0
F2-wednesday,0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,0.0015151515151515138
F1-a,0.0002525252525252523,0.0,0.0015151515151515138,0.0,0.0,0.0,0.0
F1-from,0.0002525252525252523,0.0,0.0015151515151515138,0.0,0.0,0.0,0.0
F1-small,0.0002525252525252523,0.0,0.0015151515151515138,0.0015151515151515138,0.0,0.0,-0.0015151515151515138
