feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F1-a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-five,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-need,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-meet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-maybe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-into,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-her,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-go,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-from,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-fresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-for,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-peas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-can,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-call,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-brother,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-bring,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-bob,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-big,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-bags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-at,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-ask,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-and,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-of,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-plastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-also,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-store,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-will,0.0,0.0,0.0,0.0,0.0,0.0,0.0
