id,gender,age,location,F1-all,F1-an,F1-ask,F1-carry,F1-dark,F1-don't,F1-greasy,F1-had,F1-in,F1-like,F1-me,F1-oily,F1-rag,F1-she,F1-suit,F1-that,F1-to,F1-wash,F1-water,F1-year,F1-your,F2-all,F2-an,F2-ask,F2-carry,F2-dark,F2-don't,F2-greasy,F2-had,F2-in,F2-like,F2-me,F2-oily,F2-rag,F2-she,F2-suit,F2-that,F2-to,F2-wash,F2-water,F2-year,F2-your
ABC0,1,25,newyorkcity,588.4598756163491,564.2794655955274,676.0576264747884,483.3669472613609,546.7303497393103,591.5300637230814,336.840126391422,637.6055271403956,383.6113140660859,521.8694682162176,483.2361093585985,417.04170063084615,616.0309880304741,393.2465763887742,413.15240632987167,600.3684603624368,428.5303535194197,644.9216045559915,520.3420804972484,406.845254773503,1902.933049084637,1108.788064609034,1790.7658255087647,1501.1717032544495,1749.9080757693434,1456.212541814468,1131.9135695190166,2102.8752455485783,1614.5363431202998,1611.5432622530077,1332.4588558156618,1655.858309124677,1622.8028455787685,1381.6523361702175,1855.0918987269083,1605.1642504423107,1518.1531179061972,1841.6411458751345,1134.6485633061816,1117.6040564212435,1844.761779536428,2455.360004856453
ABW0,1,26,northern,653.4294099198428,561.242914353539,775.4959766162222,541.766089764842,620.8417716069797,600.5135867722094,378.172039544949,665.9223270023662,504.83158227642633,644.3218445563479,510.0237865639251,464.5324103519498,606.7060493548006,407.7082090618936,434.45253557731655,645.5486857035067,503.23252952245485,615.3977099095387,615.7865756384045,426.5438672913618,455.0367171025458,1050.3475373213662,1908.415724298876,1754.8346094672254,1903.9562720707104,1306.6916993311124,1273.8168009452963,2096.052831949303,1743.4759616918973,1940.7294401066947,1508.3762194145168,2115.210676732386,1743.1809182813877,1614.18904745215,2020.495257941386,1653.968657568507,1695.2995199105571,1856.360389530775,1087.5207289058972,1072.966972277747,1957.207575915029,1682.1560127820576
ADC0,1,31,northmidland,678.6344849204482,617.0276228893929,675.4940100163021,461.1512129219866,632.0689570990902,644.5779748671271,321.06887047517097,633.9374124599226,393.2073087074395,727.8368332667984,427.1603230145101,530.7994779072944,655.3039186959932,423.5999196259552,374.051052349222,677.5642389744058,407.2635327185711,506.9421603633887,651.7808574918366,417.87213876383714,439.54865206742136,965.3946813600692,1994.014473636486,1971.1283447523604,2004.2658964789275,1432.674820864158,1182.6156589285142,2356.6975018643307,2001.3043134248,2150.421953126139,1475.1474367213752,2258.551042521201,1693.7609551170751,1874.54505010137,2425.493838445032,1728.3062688042778,1826.3867142419297,1866.3428014114536,1048.5292316838925,996.5443950905236,2028.39533137704,1926.6542472247927
ADD0,1,27,western,698.2560125439256,500.8711161943047,685.7643206718317,514.148371990009,610.9329902245681,574.933545427172,354.2711211108376,700.6968931427753,481.9945269467101,609.226732117905,423.38636168390974,409.3350229342129,672.3049634562341,363.2907640708093,429.9826926678279,651.9351759218562,461.3684852850817,676.8703506727917,629.1415942209122,382.2966567187507,413.6244655954535,1088.3511642600374,1811.818070797868,1538.7063028719092,1815.340576317493,1293.2854899151891,1213.987811919111,2220.252246932981,1696.3034400704855,2144.4437344924263,1505.8506936352871,2403.5714427543394,1642.8699919390776,1453.4600782724458,2200.5079069380427,1788.3557640906315,1551.3220638425746,2000.574519938415,1103.017030780262,1080.249317660193,2034.9815845054104,2020.8829994249936
ADG0,0,26,southmidland,747.5157564835339,667.110382545228,679.7343930063628,518.0286086696606,697.6488344550299,770.9343853626731,495.3819911254469,787.7407220546047,588.5301200616738,833.6101630628162,554.6783028005348,481.1828920998185,823.4323503439131,398.3589613368904,496.8968110820982,775.9693119335955,477.7033835019309,774.0921548479351,692.7909533216276,438.1367177193705,472.5700328435349,1145.6411697023098,2200.0502421203355,2329.9080414298587,2222.266310968555,1417.9074512846264,1803.2165545618968,2458.610946033145,2106.146191913232,2457.872267762433,1378.596599798866,2486.0422796493426,2101.707065628176,2095.8168153944125,2713.246438583911,2152.955123355029,2051.4434130162404,2337.934182934589,1102.691434579532,989.5909355409462,2585.0394862925195,1829.9383140442717
AEB0,1,48,southmidland,602.2873642207134,569.8547998025812,529.2868275144093,436.8020022325394,512.2518879676117,545.4472731821451,348.0384303179829,384.4173655156548,343.37547964623786,596.650732179583,457.097378642449,436.2060963597928,556.7134967320443,325.87172520709674,392.3595533911855,491.24020788543936,382.76826098572496,597.7979036962831,515.7357048096542,335.6371969973858,459.7945349376769,928.4220446908492,1447.094381950996,1490.1240072401372,1662.6863756461844,1169.7502600397922,1045.0669535195923,1814.248814787727,1901.6960903666584,1692.7436049584005,1424.421859054653,1755.1169519939965,1599.7207559853548,1404.245538908921,1925.479324690254,1464.5830693625396,1610.409938458776,1698.03071105741,980.4214429282384,852.9480140255429,1852.5083433186276,1682.0875787170637
AEM0,0,25,northern,701.9854492181299,550.2223703265149,674.617158213193,523.5321935318108,668.5536020010061,586.1648068316703,436.1847419196464,624.1477107131443,551.2035084213398,689.6124334802038,429.3599941908449,460.39574216389474,710.2728752449183,450.93673689834696,442.0930044934682,713.7175610984633,423.3438329065989,708.3600179493798,650.0509795027367,429.90976377849233,433.083702101514,1061.692194987504,2063.834817811969,2066.4347962896136,1989.8007871627492,1459.7445226205648,1266.420662232236,2321.6788775619,2036.346889050264,2207.483052337598,1448.6879150498155,2336.505884984206,1996.4267708916009,1739.9496685124648,2401.609301742552,2022.586721110864,1837.907929170316,2296.76966464557,1045.404893692911,981.0035496029756,2018.8601958426705,1824.536694668369
AEO0,1,30,western,603.2785644655194,527.8772331689607,702.1168611330984,533.851110346069,531.7035277095267,552.3606935299138,353.8155207285765,651.7245075052832,559.668195603654,597.3408925571458,488.3456648421812,462.70758736332647,610.4036807013883,463.70118437028896,441.2557258710877,635.3714419079928,373.61312098022336,685.4656428836774,622.0746434122645,393.389523346618,330.168089454332,887.4255936949252,1852.441073310719,1630.735108831597,1558.187989132516,1283.6422454276542,1360.579568998948,1963.043836726806,1604.056884884656,1742.2625773225625,1497.8554776694682,1922.003473971834,1628.5097902473858,1498.7291824829072,2009.9715579832407,1666.8137067608466,1492.3615911731963,1902.0336578822423,1049.3483844140535,961.2462747375092,1798.8191264436805,1866.4234229468195
AFM0,1,33,western,645.4946352211384,598.7693222703691,703.2542616687119,587.2078955492278,634.7607551669479,595.403562518989,348.9922102293328,665.0704662554971,523.5731031611341,698.8830398695418,503.4211447689282,505.71423449486304,654.95948569725,379.3882362823605,462.6467439099592,676.2661313867835,514.7467260407136,708.1795868371809,625.0434815320799,436.96644431861546,466.9076431911065,957.2753525648172,1683.7124441560325,1590.1294795833792,1667.5254076597964,1312.4393159291094,1141.72305002975,2109.752745579356,1699.9053374346386,1921.4675356123523,1453.3708718220198,1786.562990852903,1828.7507000502385,1514.645181376909,2085.598394646395,1653.1586484481056,1602.0931806013405,1858.7695559391675,1048.566517396002,975.1829725673084,1973.868652237771,1814.1318890045577
AHH0,1,33,southern,655.6040603499838,541.0988152611419,695.990326973824,495.5326760185333,674.5351007709427,614.772501488828,337.0560041640895,621.0243319343194,420.9060134507441,598.4329843544946,436.9982621772875,394.6233785237434,581.3775903391647,307.630288732549,404.4795601408679,580.1649285160121,377.184709573293,697.6752900178808,553.8435829683931,409.139783399044,421.0365448363873,996.8665555167432,1723.7935477169806,1662.9940232002975,1481.3681721500975,1213.397456515828,1156.402395368396,2017.0574159923567,1830.757785543696,1960.559895378898,1524.743747075628,2031.0580533090397,1716.211481179448,1629.73489441037,2255.696378110156,1372.5439704577202,1606.5872201943794,1779.611181799556,1212.343670828947,871.8192927950665,1839.8862767054495,1749.671502084459
