feature,VIF
F1-all,4.428771809434897
F1-an,2.1615989734730094
F1-ask,3.2821664110014246
F1-carry,3.019109528212355
F1-dark,4.043092769328041
F1-don't,2.7857723105314514
F1-greasy,1.4882561968491053
F1-had,4.899042450232482
F1-in,1.1690822424775147
F1-like,5.111386372168225
F1-me,1.7646261879844891
F1-oily,2.1710938681161274
F1-rag,6.092236788577872
F1-she,1.850149002889067
F1-suit,1.3462994533838737
F1-that,4.292401778005633
F1-to,1.3416314974013235
F1-wash,3.7738034179163877
F1-water,4.635497473521245
F1-year,1.8056700610863985
F1-your,1.305400223109917
F2-all,1.9637659408562538
F2-an,3.998513946923254
F2-ask,2.5624577006251945
F2-carry,2.5071330900395656
F2-dark,2.364363681857985
F2-don't,2.605024583822931
F2-greasy,4.006655122187163
F2-had,2.793640006221065
F2-in,1.7773614261794275
F2-like,2.67290518072225
F2-me,2.640860626496493
F2-oily,3.2516684884567626
F2-rag,5.269538650447959
F2-she,4.608030183888279
F2-suit,2.2732375969720358
F2-that,3.402314836982165
F2-to,3.054405464983257
F2-wash,3.41620929010299
F2-water,3.2680206797030316
F2-year,4.687575467925254
F2-your,1.996583324651186
