id,gender,age,location,F1-a,F1-also,F1-and,F1-ask,F1-at,F1-bags,F1-big,F1-blue,F1-bob,F1-bring,F1-brother,F1-call,F1-can,F1-cheese,F1-five,F1-for,F1-fresh,F1-frog,F1-from,F1-go,F1-her,F1-into,F1-kids,F1-maybe,F1-meet,F1-need,F1-of,F1-peas,F1-plastic,F1-please,F1-red,F1-scoop,F1-she,F1-six,F1-slabs,F1-small,F1-snack,F1-snake,F1-snow,F1-spoons,F1-station,F1-stella,F1-store,F1-the,F1-these,F1-thick,F1-things,F1-three,F1-to,F1-toy,F1-train,F1-we,F1-wednesday,F1-will,F1-with,F2-a,F2-also,F2-and,F2-ask,F2-at,F2-bags,F2-big,F2-blue,F2-bob,F2-bring,F2-brother,F2-call,F2-can,F2-cheese,F2-five,F2-for,F2-fresh,F2-frog,F2-from,F2-go,F2-her,F2-into,F2-kids,F2-maybe,F2-meet,F2-need,F2-of,F2-peas,F2-plastic,F2-please,F2-red,F2-scoop,F2-she,F2-six,F2-slabs,F2-small,F2-snack,F2-snake,F2-snow,F2-spoons,F2-station,F2-stella,F2-store,F2-the,F2-these,F2-thick,F2-things,F2-three,F2-to,F2-toy,F2-train,F2-we,F2-wednesday,F2-will,F2-with
english1,1,42.0,usa,484.11670665727644,649.6910406278198,633.1601210542501,744.7633386863431,539.5059434978417,650.5970913668774,418.22157874653846,344.64762450858166,793.8675137835902,494.0009368543368,622.2709621488509,923.7742522890856,1621.4044883444628,339.05005443515,875.699363796384,536.3158324198563,602.4769918770697,685.1671173795831,565.2457775572713,516.3062988388963,515.95929852435,362.5421080291239,480.8220907687888,493.0672564424895,351.48651312183915,436.94056463084974,416.2038174292166,364.0117750098973,820.370925116538,366.9092486943695,559.8166609584638,354.91834950743686,363.20729737263525,497.78037752450064,717.0328046761588,747.2550343921367,795.325311593223,547.3215403424168,551.1866918638568,392.01870196989546,442.720967364497,736.131519742883,465.6181203080541,410.8992642286512,360.37498708112014,447.23281794142935,486.0371688452476,336.1398636912067,437.9239039994937,558.1030923489486,598.9187489703697,388.7608229333183,659.5216923576859,458.31754410087024,451.3514066832592,1816.9592542085531,1322.9233852759394,2052.6755910325464,1608.918505472284,1894.10416852964,1768.6516077234744,2014.4370081647844,1326.822688395553,1137.04912104376,1869.824629590731,1365.3938516673186,973.4421677592724,2653.6858990648225,2378.624140808188,1295.367930281651,1377.9304668303216,1510.0549859013736,1230.9141840247162,1276.9486783620457,1176.8633062317642,1442.1499962287473,1887.49000746628,1957.7071461435692,1995.550370471315,2560.61874575544,2182.8303369935397,1472.5637307050729,2384.3614344083044,1429.809487832163,2136.683938564391,1747.7806557765696,1249.5300093578323,2129.6229213814777,1895.5928826581744,1500.6893134099532,1161.2672472552883,1687.7453384606356,1980.1482612987056,1444.2159911102565,1200.49182410651,1858.4828726635108,1346.1398250141835,1049.6758137204588,1728.338154448279,2350.167051533439,2021.9178420380124,2033.8958153809895,2066.899525402,1358.6802683823307,1237.0547329509156,1877.839266504909,1560.9091293313022,1587.6906769390444,1108.4102563700033,1499.6753944445738
english10,0,35.0,usa,446.4792925416128,805.9019300919439,594.3660547242364,767.5687120541361,625.0725296945781,854.4885270763408,469.2805065655776,441.9400864218596,782.9217577537365,459.0844712026286,663.1980487772781,678.761578628655,349.04780667922444,346.6169217278392,1003.6918323319366,478.20122852984827,660.9231923886956,813.9063240710474,476.9264351400194,562.2626262030172,523.9439450304152,397.8158293431068,491.1684304550017,540.6094567240517,410.4016334864154,410.1685664274248,518.7692935576296,372.8171101324237,783.7684736105106,385.1344445895575,564.3900555233557,367.7288856008919,2169.534763971106,476.22775828892566,783.6129827606468,872.5768455902842,785.2036332616655,672.9908553253413,519.0340335021501,468.2361059064411,392.6644595196811,703.4712790070026,488.6186906438813,375.7880271942072,357.46963119069187,553.295966452151,677.8190055173536,377.42797798421503,450.2074948046595,526.556666460879,389.3037569102564,429.5660736163125,562.2602270626801,376.1169495448327,450.1873072917678,1999.1228221305082,1433.2339176573375,2016.3205974602588,1930.8296420385916,2046.9286610578547,1867.9991054683987,2164.4577141847576,1499.899561627467,1253.4574896300276,1892.427751361346,1512.3174300107337,1277.384567862748,2339.729294597023,2651.8179740930186,1546.3399150885375,1612.4558327451698,1735.9788145615717,1269.1640076602114,1491.0288088409598,1415.5391815687651,1571.8359730090774,1953.5279449636712,2225.1671216686277,2308.8660802170407,2737.156014013723,2517.555588815192,1583.9413019698536,2674.063566286638,1650.9545414288086,2281.65544480779,1936.084359679489,1905.4167612566532,3044.543068008539,2079.8395078252447,1826.4850589777743,1170.489912422962,1848.8000388711928,2156.287334694405,1749.6624117615763,1767.8606242120347,1883.3583835715935,1503.8682635867451,1017.1349502384912,1909.0705779026541,2492.498773909525,2104.31443574812,2064.484883512975,2078.224464931504,1727.277315392716,1417.8053075158557,2259.061534584687,1826.767380782947,2229.678559969128,1133.2978610963387,1783.9837697903552
english102,1,22.0,usa,454.6500480574836,597.5637886577609,448.35886942684346,721.6930531803748,486.4967005412721,621.0652080286187,408.2050850665746,330.756865371912,697.5209025473515,475.6682014261032,531.6328553257861,625.9665215093237,350.59409645835603,266.2811777989571,693.9040199973701,553.6908149399734,567.3935011100547,667.1330091751032,313.54641349625075,463.46848301906186,457.7949581783027,380.5009474696896,420.5846394113856,407.636686491405,315.4247860079517,319.28728354811363,382.50672562066313,291.41758984156246,621.9881938187241,304.4099407800296,552.0263533508677,324.0220514638132,329.01468019934686,453.3074827981692,649.4958930586411,582.1922219633841,660.730143318918,525.8436145322042,491.5037077387578,382.52080204638696,448.8392345364048,638.391917137129,491.6968318625085,399.9250131202405,291.1082493880558,504.9865516919594,493.78692543722303,291.1039133983729,422.074532447123,486.9879834438438,500.9642628411098,363.26689379848085,608.9171798541729,455.93821835753545,450.4473783155076,1516.8013678528548,1230.3264427599283,1311.6325212203258,1559.4668876619007,1819.2516481113844,1553.1799259906802,1826.600117103664,1183.5357630656513,1201.084820297869,1664.420104294028,1076.1337804842517,1074.7644000685375,1964.1434944970283,2142.155459544551,1229.6110994611977,1542.8218675375263,1412.2505207805063,1200.307483665357,927.8106315796348,1043.9366578716322,1349.1395959705949,1371.0406572990498,1849.207778687503,2043.1236334549144,2277.4359646791586,2337.636947218152,1155.2249098984835,2073.6905246657843,1339.562779954105,2215.3248937939297,1522.7451049233855,1370.351902962327,2075.5547228671726,1668.1769181713355,1389.4996906956892,802.493270988364,1489.0483063030208,1960.5964036756957,990.326821846912,1161.827339036708,1796.4214056736137,1256.1500214667622,984.4654288326932,1392.8020625265906,2186.225356803504,1683.4126453650294,1749.0399389795587,1818.8326313992209,1335.9798604585872,891.6689842559045,1278.070885999306,2016.1121327912542,1457.120448050228,877.9478686376171,1254.5744547029665
english103,1,21.0,usa,440.67725890958246,570.3527792854808,542.8365710082473,531.2052551556028,439.5933693703981,510.2749182838928,396.9627032216439,323.4923911336758,671.7742191852662,400.3931177081272,578.7215022132729,418.6541328715039,360.0317268755223,288.8034958074892,748.6488172692785,464.55998047368513,619.654927683216,737.8623883342578,613.9371408202953,505.5989706236665,444.5380560906308,384.40209199930473,393.4493811764929,423.41657622368814,302.62174305014906,319.38950623318635,388.760235694253,290.1382083092837,515.3435918542397,301.3333943364928,543.8590766408473,336.02047925486426,331.5689299938565,451.66672634974606,443.1099170161514,732.1629046599691,711.3732215376989,495.2256050469672,523.7663997856266,589.9408427309373,241.08645322094785,581.5675888368398,429.4999291291748,382.5761863148295,333.0635482637605,452.13953018119554,428.00760114283776,332.1417265926943,441.8763820206408,462.3127841851073,551.478720187604,324.3866785522345,550.6188054319538,377.0565299116387,439.58053080935,1584.8581279863029,1226.6913990506173,1750.5449089862896,1693.5078410285482,1866.171228949893,1744.0255170546784,1781.0078589052569,1516.0228401074503,1051.866271789159,1602.2420639982854,1252.3642882915392,858.6131991015206,1847.060354167877,2149.105586087487,1397.0459783665256,1375.005931055282,1501.9383415848847,1259.4443023842332,1149.3513631750243,1088.9075501981056,1445.258625863035,1518.743755875833,1780.743265842946,1864.0465011502383,1987.7667130637135,1850.3677946737168,1378.0569551217022,2095.996630960669,1551.0660361383884,2059.363236365242,1582.5326933509273,1253.6274509197597,1971.1413670413783,1651.114582306544,1615.5074357756027,957.0761743224394,1639.3743058778637,1925.258495443932,1228.363513838632,1871.427029133326,2512.0445727947176,1468.192669629239,983.6617493995728,1504.0328849186105,1683.5918746907546,1749.3926014969304,1705.3888737592229,1888.4011601459847,1463.0126912051796,1111.3818797609297,1713.2179367524425,1723.2236936149548,1401.715722821794,860.1140713029832,1315.6990944719544
english104,0,18.0,usa,558.3284078025816,785.3142855353627,778.2204803488463,1048.640184763062,550.42825466972,1024.0696881978793,631.600672112497,380.7273835267403,908.6766060356584,624.7544421770049,792.452077616725,697.0554751138992,497.9021313388045,353.603309298013,990.8417459359374,477.3144584249314,759.397916631974,933.8835965430048,627.2906819777389,592.9651776674965,551.9168622567098,523.8756146002016,601.9410542592409,495.2797410893109,376.8072497958463,426.8547537354679,511.12373313966475,331.74359249529687,811.0733671881458,434.1355934439489,686.2926203003325,448.1324942449745,429.5315689332252,509.7441226363259,933.9695890225136,983.3031253235056,1085.0084643171904,631.5473495326895,609.4177756020703,460.4860339562306,469.1834841614207,877.1804840523864,615.9920884335731,605.7453808277306,454.82439960172906,462.1421805265628,580.548730601203,418.2414532419767,513.2477658859152,529.0119259324638,507.063598770308,398.386787668457,838.6566759201509,428.0977057824156,670.9096752025091,2024.20473538609,1495.355949067486,2101.328934708536,1688.4450242793748,2527.5054437434005,2109.02958362222,2374.301083891634,1796.122295260725,1218.1330707725135,1979.7481797337855,1545.2962978211535,1272.741514986719,2405.8503271555164,2629.134752364685,1619.6775256360218,1751.190786938946,1744.8084396945633,1546.815767478714,1541.3474457502946,1429.4707655519885,1743.4018008555884,2131.0480494215108,2533.053310988012,2426.492841454629,2688.500346684771,1700.48847196086,1617.3784097089704,2733.874638718408,1668.8156995054476,2373.429670226924,1772.6028866006195,2324.2639468643124,2558.45160745569,2401.927948905741,1674.1547800088574,1032.320786851409,1972.6809290864865,2629.041163587826,1869.8868027403485,2014.1448301463709,2129.3318247053653,1652.6017241004852,1341.4798951166963,2070.969361518708,2596.304905890367,2573.5022879502167,2413.303380000646,2462.669548252144,1700.7349605856346,1649.232565570824,2387.5843658915337,1854.0524381643804,2016.1597764704109,1012.3515909990628,1680.0832809616222
english106,0,39.0,usa,701.9767570614304,790.5852035054343,835.4556769715184,1004.2334734749282,822.064288381712,778.7530913864034,423.5969626862232,396.04915215050346,996.1530550190228,636.6591559639365,699.1555615938169,785.9799958769772,482.6346153319488,394.65099855505326,953.461132234714,600.672977535165,722.8209244112716,921.0602196653213,575.8920412449736,745.1085824772387,536.492368886517,370.351064472327,558.4943332530426,665.9749621317114,472.1294918234185,525.8493537683185,505.3222342077314,414.9680640129637,986.8755205855812,356.5385086944651,705.2276817371419,386.8953572962698,376.6042249107781,481.7951593803622,977.1240499536472,862.3120009769985,877.3167272150646,602.8335407301186,722.9053175062584,530.9890375015365,681.8582975548618,814.5300431105322,599.4674583827766,503.38490899117977,374.9022235202327,589.9509553016105,530.1867802519305,455.2136737384146,485.2453355625533,641.5800124700319,487.6877671806709,395.91031661452325,793.307737166349,455.4195295955994,492.32909408942703,1779.3669685880661,1223.2010561278769,1855.557162584372,1485.5744103903776,1469.5252943475246,1409.8239303209036,2676.3025731476,1265.6944235263138,1316.5963330146756,1697.1449443431657,1404.577531576567,1268.3863320819212,2515.7669826151364,2000.2998312391264,1367.6908264456758,1120.7041926214365,1446.5287543751615,1281.8615290772475,1361.0100091618187,1089.8381611112873,1400.9015791956008,2246.194920213533,2414.244348425725,2890.786979557632,3303.802716280632,609.99413945264,1633.27031935479,2795.1112998118583,1519.2066339315695,979.7415737915696,1081.9081582409483,1278.9610602416772,2792.9464815585247,1742.25512304959,1553.501427518769,1176.2715474708516,1693.8822444793816,1810.8590928171009,1256.0818435860406,1259.301285308651,2083.6529796953987,1363.6707665235583,1240.1798929888985,1855.237118775288,969.2801936559015,2158.578925282922,1490.7057938698576,2807.480349082776,1553.268315910252,1242.1495246611698,679.3007792884194,2342.036701461952,1180.2180253312608,987.2208202197288,1355.9338620918031
english107,1,19.0,usa,445.43718976526566,545.0439091571694,528.9698064692626,643.3674051069786,449.0369819963869,597.6707344456304,327.3765500460395,365.1762769960917,658.7772415706854,419.0303775819125,478.3939181719336,536.579200789734,331.1890685105297,326.26363310859034,680.5743745573121,427.1635273532868,526.4121112714662,546.5693226606234,245.846026628572,406.73952936441407,424.39613606717654,324.3463786744054,412.8426892138777,411.9572733109178,380.3398371689744,381.86028822247454,372.968845370959,319.4670855904552,580.2526603733686,388.37650779031344,468.3446260890229,380.23442105894907,294.49681913328624,470.8070013631712,577.7824902466084,564.1448099123202,579.0812909765046,456.6927097824982,463.24498318286254,394.01983081749137,352.3390776636221,538.3919667881233,419.75910658388926,372.51270269591896,355.78553602592683,442.52489238989097,419.8766299892415,365.80758992003,428.199368649413,486.0526961561145,445.26250021027937,335.78653705264736,476.2942130432425,416.1474715276776,384.9319068047817,1600.9587543403675,1067.7676492394012,1684.1263550002159,1756.0261096494542,1723.6662294531034,1530.3101764791795,1915.2290903509172,1397.2990036827573,1130.2805586739596,1878.1162828694864,912.0897938415573,944.9742376767922,1778.6480431377402,2018.3852670656397,1305.6455269275116,881.3701399882118,1299.462337075543,1007.8357488770536,1629.8164731368524,1130.5291711446375,1289.503821826568,1729.617177193986,1723.5957005274122,1872.655324425531,2381.3892189428398,2141.23691568107,1372.30288840513,1987.3720740489075,1293.961038265415,1926.4314348784249,1469.3448697668146,1342.723125909718,2044.205909926554,1717.7824187922045,1482.3706823641037,903.992267643938,1689.0707735885376,1829.2776896558555,1248.3501254726757,1374.5463774859268,1536.9099777849551,1067.21032623742,917.507933423374,1543.9468376727007,2159.2639919350986,1812.323811459396,1711.7096073469288,1596.9259322017324,1374.0840226336102,1073.4344784790285,1798.91492250518,1764.6801114176399,1629.704114485692,900.5799743781727,1174.8930353793912
english108,1,21.0,uk,638.4684700683893,538.1654101029891,834.5750108748426,777.7680542941853,573.4837406944097,717.7347467617082,586.634588143516,314.70216065783325,681.7390071125952,557.6941806922388,573.2638974131696,537.417265006165,266.01242355025755,274.9114615258935,712.4258395970711,460.63941084851183,425.7599711149186,651.1459273534754,515.0352133874497,409.5057204680994,485.125250450536,380.6836101515793,487.7673434528072,486.3783314773488,401.8959110198603,429.2135326346728,442.33057252624275,267.7736111281582,715.7078910389899,321.25866375821425,521.0956288981039,373.0464632539748,328.69002654712807,532.5164826736884,651.4637173026282,711.0211474172698,705.6727325911382,461.7884878642857,552.9469926213131,438.5101397988984,1756.4656198174266,652.188654939648,393.58392103551256,453.19349483897287,342.4467876341415,556.8070293694327,569.9664488266428,295.8351918996051,490.7409136414532,567.3694359097624,298.8539510151434,433.8347269791961,507.0074879957983,433.85012246800255,477.0881248492286,1490.6040184360636,1021.2156128809128,1954.2427841325034,1434.4879663101217,1746.031701216112,1578.074648982799,1434.9051208481403,1693.2079065350076,1115.4737356579735,1679.1620127975789,1030.3171735753028,1010.191908558704,1941.6350116277324,2083.4687495773305,1469.156997868343,1515.5150523925765,2020.743601536593,1254.7452777709982,1023.6308975661534,860.6022226241691,1426.5336079616145,1782.2882020851068,1787.9443877052202,1676.779803593868,1783.0216270933695,1896.9189022353048,1536.5144878521855,2203.307517511018,1524.9823118351114,2048.884160365777,1768.9090939749165,1679.7517542994822,1937.226841530251,1655.9255721126551,1544.20009758731,1499.9350596674562,1580.681817217617,1880.7992381371885,912.1822751772146,1542.078655974359,3054.2165254683,1294.9656476665812,832.0837679844384,1522.238272681394,2057.9267545436605,1675.2353542657215,1605.7729421003955,2003.6026947564087,1732.8622026845278,1299.4133742235838,2083.837159052396,1112.3373813125263,1788.1144395623317,930.0978550171608,1187.064438942694
english109,0,26.0,usa,501.1144004430833,579.9599994991852,559.0803954405649,788.7385014950056,549.4813279636354,626.3698708484545,511.9120940438791,440.71996610154406,881.2087639522981,517.5918441252321,611.9115240182043,503.5320766906717,356.57668234771603,394.7229053741669,1127.5772378494617,553.2987284686163,723.1183781411107,751.970025254931,473.99673576416,551.3477035676665,489.9314628945505,585.5506978887953,545.5162931670635,582.9319259176077,398.1841436014166,395.4574853681477,459.0853120266972,383.8564931732354,754.4781199872095,328.5629811000743,556.643859940103,390.9375027800888,479.1233579318079,506.49256340029234,541.7881848090426,547.6142953793011,636.4696050256741,606.1928167772235,617.7490148139985,500.2358760357546,470.854015793728,731.2640197162074,516.1309623269383,476.79529457592434,409.4779475185501,514.1747661081608,476.13923253237556,379.1334998830734,548.6809654719013,528.1806787192008,471.155835626792,374.0073316844049,666.4636785940285,477.1359610305378,481.8534397827041,2047.9834506619534,1177.3093106296417,2053.2539758753037,1970.487500087988,2155.5316607922846,1929.759076381,2172.7341504098035,1009.8419746694964,1442.0290046890295,1898.962353974972,1436.4620860492687,914.336611049414,2290.778563845581,2571.4310136401514,1590.8676798501633,1672.062502887537,1803.6656470012888,1261.4399414648356,1503.1519484374617,1194.7734985014404,1782.4205769222278,1970.113196321723,1547.6428860218075,2276.692713673463,1590.5839891602957,1743.3781416074169,1774.1053280527076,2811.0452591182047,1784.828448724243,2415.030291769797,2000.1336455816715,1206.3634629016071,2436.44178062294,2161.894878584798,1917.4586626279047,1112.9527885653831,1378.034157751314,1822.4191416173016,1210.5066723970708,1112.7250019539829,2023.3955640609229,1639.4459665837694,1038.1152905653444,1965.3752642968059,2495.6625066769057,2023.391572220888,2091.9711855034284,2349.19568317776,1858.4821935767625,1180.3736790987552,2272.135231632856,2327.300236311534,1771.5517158363084,1013.6555420841784,1729.7264741890174
english11,0,35.0,uk,439.19669040162427,540.4986089359173,810.2425472612509,978.5433153950283,767.1761189324425,917.5530677682384,472.1626105844895,426.45479399773495,793.9827226978293,517.521327212193,577.8500401389143,619.8417478343703,334.06962817998743,404.8954245631722,902.2326177896848,490.55064979077906,745.5210233387584,583.6784075515569,1400.883924711815,571.2274462332065,502.6537538261387,1579.070077849471,489.28731213072814,600.520945509534,426.8492095459695,447.1526897008136,431.60629304161796,414.38064734028166,925.1416444473606,490.2817878104962,622.8165952477106,402.8747329869404,379.5651686700223,523.2335612323426,954.6812030775254,581.0192030329549,996.7070071796512,672.560784080436,553.3831315348077,433.4229854889238,1008.2516764294188,844.4674950800204,485.5838576348157,469.5601634984602,431.6977251225352,651.7218831717619,499.0675008230718,384.62255259217545,385.2647298975177,521.7891540800351,685.0733765442742,384.18353533759057,611.5837788349555,438.9826169897785,473.80089226387366,1856.4605689480868,1164.886515834429,1825.2363481303848,1326.8926956532464,1826.589251422801,1497.6310155121578,1939.5337788820636,1264.672351774486,1104.0547557263226,1869.4781539303456,1332.021694375214,1095.7267626237804,2006.6029418425476,2233.7712435226454,1425.0549010970794,1424.7636861119772,1453.673028969555,1082.911497630024,2316.537744209215,1337.63509239573,1636.4275910042106,2160.4346077132013,2115.9914550437943,2004.323959428452,2098.459375618968,2179.213977607676,1731.628945315898,2161.204343640327,1223.1382262358295,2073.23566501874,1403.2757323007795,1472.8644431143057,2190.93441479212,1770.495994071306,1279.917615789254,925.9874509634012,1593.9829494818368,2003.434773790076,1543.2890990827295,1694.552610898256,2220.280308197128,1410.342905581199,1126.173902860009,1548.899411347452,2241.4406106889946,2001.3419079559112,2019.3945412044554,1687.2774000453826,2112.836989280487,1226.853270384207,2019.520935930133,1521.6771279662175,1402.6539719131447,1060.781617397417,1442.9540931266797
