feature,VIF
F1-a,3.5667656453206997
F1-also,5.1854762931632195
F1-and,1.8520922770036705
F1-ask,4.828476828126231
F1-at,2.485174872166256
F1-bags,3.2241645569075628
F1-big,7.389272262654677
F1-blue,2.621160229793706
F1-bob,6.021832283272381
F1-bring,4.831422748691949
F1-brother,3.811411262570529
F1-call,4.911912304388214
F1-can,1.7215657399791342
F1-cheese,3.645385755989729
F1-five,4.240767403295719
F1-for,2.248904995525852
F1-fresh,6.653511591930341
F1-frog,6.765667122145187
F1-from,2.1347964137363684
F1-go,4.31928157420151
F1-her,3.7426704409919576
F1-into,2.117088573891119
F1-kids,4.557863626089667
F1-maybe,2.26323594273365
F1-meet,3.1850894362003235
F1-need,2.5081121162766733
F1-of,2.8700216599760204
F1-peas,2.583054026512467
F1-plastic,4.856005888917739
F1-please,2.5864493205885553
F1-red,5.012371841267694
F1-scoop,5.876047321879622
F1-she,2.0109730181366885
F1-six,5.62230980776331
F1-slabs,5.324871073104833
F1-small,3.4350023518195973
F1-snack,3.7635027277658963
F1-snake,3.1448411959991596
F1-snow,3.815773505571627
F1-spoons,3.6327008807950096
F1-station,2.1021453595995907
F1-stella,2.0247134704569927
F1-store,3.5872013383785055
F1-the,2.550107707688866
F1-these,6.6752372871019245
F1-thick,4.324831448133257
F1-things,4.197972516952027
F1-three,5.616579316900021
F1-to,2.463361906510147
F1-toy,3.397572104914765
F1-train,2.698261013883966
F1-we,3.857540892244995
F1-wednesday,3.0016513618699805
F1-will,3.3460420822198813
F1-with,2.5056005874639298
F2-a,3.446619612908582
F2-also,2.3836313599973287
F2-and,3.2145432700672996
F2-ask,2.8991270930641106
F2-at,2.7622068535625828
F2-bags,2.674708962425931
F2-big,4.2031474317558715
F2-blue,2.943287846474203
F2-bob,3.5203164141433563
F2-bring,1.9340858834036116
F2-brother,3.7782651716177393
F2-call,2.3170942083816546
F2-can,2.421235020535858
F2-cheese,3.089011592717214
F2-five,3.4859389433739505
F2-for,2.559614836123969
F2-fresh,3.2478344209457393
F2-frog,3.63468496930197
F2-from,2.349891063703939
F2-go,3.9091145003443866
F2-her,3.210755320749517
F2-into,3.464222186888011
F2-kids,2.6989402292434033
F2-maybe,3.3548970257198842
F2-meet,2.19130233730326
F2-need,2.307210929448402
F2-of,3.722508596461582
F2-peas,3.5637938409314023
F2-plastic,3.5841848761786532
F2-please,2.4947821869500166
F2-red,4.363653017196522
F2-scoop,3.8935130248627257
F2-she,3.6545477433856273
F2-six,5.2261159701527005
F2-slabs,3.670089916448619
F2-small,1.9216592349586854
F2-snack,3.2096308395804263
F2-snake,2.2281699046672787
F2-snow,4.96032241038155
F2-spoons,3.1900889436046174
F2-station,2.3257497239125793
F2-stella,2.361648170419377
F2-store,2.631005745906608
F2-the,4.519209073898983
F2-these,3.1778928960021853
F2-thick,3.6555731719379505
F2-things,3.9555540632552697
F2-three,2.7350832905220344
F2-to,3.0960162723583085
F2-toy,2.612328021171237
F2-train,2.485060987771712
F2-we,2.498551003212657
F2-wednesday,2.5654834564991646
F2-will,2.4038555305049263
F2-with,2.902384821881451
